Company,Symbol,Sector,Industry,Exchange,MarketCap
,GARFIBRES,Producer Manufacturing,Miscellaneous Manufacturing,NSE,685929.16854
,GAEL,Consumer Non-Durables,Food: Specialty/Candy,NSE,841775.328765
,JUBLPHARMA,Health Technology,Pharmaceuticals: Major,NSE,868798.9726755001
,GALAXYSURF,Consumer Non-Durables,Household/Personal Care,NSE,984135.27864
,M&M,,,,21505587.603314
,RCF,Process Industries,Chemicals: Agricultural,NSE,879942.5195
,CHAMBLFERT,Process Industries,Chemicals: Specialty,NSE,1554120.119368
,ORIENTCEM,Non-Energy Minerals,Construction Materials,NSE,514425.45636
,STARCEMENT,Producer Manufacturing,Metal Fabrication,NSE,727524.750708
,TATVA,Process Industries,Chemicals: Specialty,NSE,374693.93699
,TANLA,Technology Services,Information Technology Services,NSE,1471864.85749
,SAIL,Non-Energy Minerals,Steel,NSE,5107394.519848499
,VIJAYA,Health Services,Medical/Nursing Services,NSE,691299.473723
,QUESS,Commercial Services,Personnel Services,NSE,776467.37444
,BIOCON,Health Technology,Pharmaceuticals: Major,NSE,2997297.9
,ETHOSLTD,Retail Trade,Catalog/Specialty Distribution,NSE,511335.2531625
,SYMPHONY,Producer Manufacturing,Industrial Machinery,NSE,612823.32
,NIACL,Finance,Multi-Line Insurance,NSE,3466568.0
,WESTLIFE,Consumer Services,Restaurants,NSE,1273764.5638025
,TCNSBRANDS,Consumer Non-Durables,Apparel/Footwear,NSE,237356.99709
,PARAS,Electronic Technology,Aerospace & Defense,NSE,280371.43852900004
,NAZARA,Technology Services,Packaged Software,NSE,566880.359118
,SPLPETRO,Process Industries,Industrial Specialties,NSE,1052279.349832
,KIRLPNU,Producer Manufacturing,Industrial Machinery,BSE,390087.07176
,LODHA,Finance,Real Estate Development,NSE,9871487.5541755
,CUB,Finance,Regional Banks,NSE,1103552.97271
,IDBI,Finance,Major Banks,NSE,7247119.06595
,GHCL,Process Industries,Textiles,NSE,555353.41666
,INOXWIND,Producer Manufacturing,Electrical Products,NSE,1628927.60876
,TTML,Communications,Specialty Telecommunications,NSE,1791691.2617954998
,LAOPALA,Consumer Durables,Home Furnishings,NSE,412476.0
,RKFORGE,Producer Manufacturing,Metal Fabrication,NSE,1311892.731003
