Symbol,Market Cap
BEPL,250849.32768
MASFIN,475423.1189925
IRCON,1612043.97836
KOLTEPATIL,371357.542374
DCXINDIA,330117.889123
IBREALEST,472070.0509665
SUNTECK,652664.4387935
GESHIP,1394549.6286479998
JINDALPOLY,277671.5380395
TITAGARH,1405320.76908
MAXHEALTH,6669156.1651875
SOBHA,934895.573021
NYKAA,4964808.9803725
SPARC,930664.7323439999
INDIGOPNTS,709597.56791
MANAPPURAM,1455867.73388
ENGINERSIN,963621.6485085001
BALKRISIND,4965448.683745
EDELWEISS,734697.5231160001
BLS,1315100.460152
AAVAS,1212567.4123875
ZEEL,2638546.84674
ANANTRAJ,956408.284585
DIVGIITTS,299942.0565525
IDEA,7788750.2728
MPHASIS,5171663.0872725
STAR,596533.26327
PRAJIND,1021444.76928
UNIONBANK,8828225.826446999
SURYAROSNI,845569.864934
NBCC,1467900
RTNINDIA,1053980.5639
JINDALSAW,1317546.8390985
DEN,272494.815495
CGPOWER,6939976.651136
HINDOILEXP,240974.06745
INDHOTEL,6226324.899157
MANKIND,7941665.823
WSTCSTPAPR,481760.73495199997
TIPSINDLTD,439090.51121
ASTEC,214769.828715
BHEL,6739533.6236025
MFSL,3293430.2596529997
CUMMINSIND,5444069.4
SAREGAMA,714744.77943
KAYNES,1668613.2547014998
WELCORP,1434327.0849425
GOKEX,500920.688946
LATENTVIEW,936965.9290255001
PETRONET,3339750.195932
PSPPROJECT,275940
SPANDANA,803136.519143
CHENNPETRO,1036423.344
PFC,12626189.33376
RESPONIND,818220.88185
STYLAMIND,291811.69708
GSFC,961924.75742
DISHTV,336949.857882
ALOKINDS,1060078.8256135
PGEL,617720.97372
THYROCARE,340776.946398
RPOWER,888005.6310780001
RTNPOWER,483309.5274
ARVIND,683967.511773
WABAG,390431.50698400004
UJJIVAN,687948.82704
SUVENPHAR,1839995.5019679999
OIL,4035613.9294709996
CARERATING,283319.34462
GMRINFRA,4861953.9190125
APLAPOLLO,4264805.399552
MRPL,2333585.2715755
TIINDIA,6848575.5525075
TRIDENT,1849831.90821
ELECON,1040037.5755675
PNCINFRA,901606.8953925
HINDPETRO,5658589.348205
RAIN,518981.382697
SUPREMEIND,5770767.190665
TV18BRDCST,865751.881305
TARSONS,280556.719713
PHOENIXLTD,4010390.1627955
PCBL,949507.180362
SHYAMMETL,1601396.559264
INDUSTOWER,5364271.998975
SWSOLAR,1007275.3547695
CRAFTSMAN,1142249.3134375
MSTCLTD,471116.8
ASTRAL,5124194.5101795
METROBRAND,3458671.860518
SIS,662082.068879
CYIENT,2539983.7716715
IRB,2509204.5
DATAPATTNS,1041973.631028
TATAINVEST,2166515.872368
VIPIND,848277.27669
VAIBHAVGBL,656754.382914
MANYAVAR,3078732.65739
JPASSOCIAT,486009.93672
THOMASCOOK,639011.9934769999
